outcome,AUROC,AUPRC,quantile_split,quantile_assignment,metab
rop_any,0.7054362837950512,0.5883618596200706,C14_quant_5,1.0,C14
rop_any,0.6641408127476239,0.5767358650524865,C14_quant_5,2.0,C14
rop_any,0.703980361477202,0.6685866726997076,C14_quant_5,3.0,C14
rop_any,0.7018902562594622,0.7126254778581269,C14_quant_5,4.0,C14
bpd_any,0.7270408163265306,0.6778006996056716,C12_quant_5,0.0,C12
bpd_any,0.7032057087398116,0.6750787229207593,C12_quant_5,1.0,C12
bpd_any,0.70012945788596,0.7070920862911743,C12_quant_5,2.0,C12
bpd_any,0.7030276474903487,0.7009561903426471,C12_quant_5,3.0,C12
bpd_any,0.7361022426036649,0.7891151672801342,C12_quant_5,4.0,C12
ivh_any,0.7201268969126111,0.6395094505459427,C12_quant_5,0.0,C12
ivh_any,0.6971660036166365,0.650127527404315,C12_quant_5,1.0,C12
ivh_any,0.7013907642452065,0.6752941997999248,C12_quant_5,2.0,C12
ivh_any,0.7057920334829569,0.7081804363267563,C12_quant_5,3.0,C12
ivh_any,0.7288834966793679,0.7746347974144936,C12_quant_5,4.0,C12
nec_any,0.6854101255886971,0.8382186183038967,C12_quant_5,0.0,C12
nec_any,0.6991984022023697,0.853619161293024,C12_quant_5,1.0,C12
nec_any,0.6860902255639096,0.8617696730792427,C12_quant_5,2.0,C12
nec_any,0.6805345351405284,0.8710654964620765,C12_quant_5,3.0,C12
nec_any,0.7066338933607044,0.8964785676476945,C12_quant_5,4.0,C12
rop_any,0.6973017688631071,0.5707129143188718,C12_quant_5,0.0,C12
rop_any,0.6768887748695904,0.5680452038359917,C12_quant_5,1.0,C12
rop_any,0.6691306918982849,0.6057976268452153,C12_quant_5,2.0,C12
rop_any,0.6907759162519449,0.6522134080452577,C12_quant_5,3.0,C12
rop_any,0.7091770508826584,0.718370721715228,C12_quant_5,4.0,C12
bpd_any,0.7442787290061981,0.7490023078467883,PHE_quant_5,0.0,PHE
bpd_any,0.7229933525518939,0.7224074460974471,PHE_quant_5,1.0,PHE
bpd_any,0.7203992582087924,0.7107577797047431,PHE_quant_5,2.0,PHE
bpd_any,0.6892714764237999,0.7120463926527257,PHE_quant_5,3.0,PHE
bpd_any,0.6853446351077607,0.6887478940099991,PHE_quant_5,4.0,PHE
ivh_any,0.7618281191773286,0.7856105219352693,PHE_quant_5,0.0,PHE
ivh_any,0.6969265183550897,0.6785859913940439,PHE_quant_5,1.0,PHE
ivh_any,0.7180613042897744,0.6938998718132463,PHE_quant_5,2.0,PHE
ivh_any,0.6795337149239145,0.660297822318338,PHE_quant_5,3.0,PHE
ivh_any,0.7004620777565328,0.6749929396794824,PHE_quant_5,4.0,PHE
nec_any,0.7402468326780253,0.8973946357894225,PHE_quant_5,0.0,PHE
nec_any,0.6815304766124437,0.8462359115976102,PHE_quant_5,1.0,PHE
nec_any,0.6830402219140084,0.857437043563546,PHE_quant_5,2.0,PHE
nec_any,0.6859881162518957,0.8877696467432714,PHE_quant_5,3.0,PHE
nec_any,0.6736183464810341,0.846407089033836,PHE_quant_5,4.0,PHE
rop_any,0.7261388113282807,0.7033022237641593,PHE_quant_5,0.0,PHE
rop_any,0.6718066503385063,0.6030945311582825,PHE_quant_5,1.0,PHE
rop_any,0.6998384178762308,0.6368385903521032,PHE_quant_5,2.0,PHE
rop_any,0.6850293013396878,0.6332706539059119,PHE_quant_5,3.0,PHE
rop_any,0.6647295721414637,0.5867857224471291,PHE_quant_5,4.0,PHE
bpd_any,0.6551062015791229,0.6603883455846551,TYR_quant_5,0.0,TYR
bpd_any,0.7410260269407325,0.7413945797058307,TYR_quant_5,1.0,TYR
bpd_any,0.7164988448477425,0.744124216650679,TYR_quant_5,2.0,TYR
bpd_any,0.6991078944203943,0.7468152042024081,TYR_quant_5,3.0,TYR
bpd_any,0.7455330541747271,0.6877564572182706,TYR_quant_5,4.0,TYR
ivh_any,0.6540744957709824,0.66284840302836,TYR_quant_5,0.0,TYR
ivh_any,0.7185719878806263,0.7193222604117839,TYR_quant_5,1.0,TYR
ivh_any,0.7071987480438184,0.7277337964234933,TYR_quant_5,2.0,TYR
ivh_any,0.7099751285490722,0.730449955795952,TYR_quant_5,3.0,TYR
ivh_any,0.7455087885985748,0.6464048257945344,TYR_quant_5,4.0,TYR
nec_any,0.6594976270401667,0.8622809192806953,TYR_quant_5,0.0,TYR
nec_any,0.6836829034928349,0.867398993247026,TYR_quant_5,1.0,TYR
nec_any,0.7057536189358373,0.8973215631803886,TYR_quant_5,2.0,TYR
nec_any,0.6866877842755036,0.8793754096801525,TYR_quant_5,3.0,TYR
nec_any,0.7166172833459853,0.822513862609382,TYR_quant_5,4.0,TYR
rop_any,0.6380447487059608,0.5745446170740273,TYR_quant_5,0.0,TYR
rop_any,0.7035708628155033,0.6624400323276607,TYR_quant_5,1.0,TYR
rop_any,0.6922983729610459,0.6598662794035481,TYR_quant_5,2.0,TYR
rop_any,0.6776787219693139,0.6607438867802604,TYR_quant_5,3.0,TYR
rop_any,0.7258399043605682,0.6016834722887761,TYR_quant_5,4.0,TYR
bpd_any,0.7020777103013945,0.6671381305986688,PRO_quant_5,0.0,PRO
bpd_any,0.7090452025694017,0.7193225477370466,PRO_quant_5,1.0,PRO
bpd_any,0.7351374570446736,0.7609341577471411,PRO_quant_5,2.0,PRO
bpd_any,0.7203068316087896,0.7312654734013875,PRO_quant_5,3.0,PRO
bpd_any,0.6901365730493664,0.6956378347477853,PRO_quant_5,4.0,PRO
ivh_any,0.6917694265022509,0.6635399088916611,PRO_quant_5,0.0,PRO
ivh_any,0.7133369551524313,0.7404487011771073,PRO_quant_5,1.0,PRO
ivh_any,0.700996768529715,0.7147498345101331,PRO_quant_5,2.0,PRO
ivh_any,0.7086425101794296,0.6979264506974923,PRO_quant_5,3.0,PRO
ivh_any,0.7326290863037915,0.6849470063129117,PRO_quant_5,4.0,PRO
nec_any,0.6714624881291549,0.8343479406267658,PRO_quant_5,0.0,PRO
nec_any,0.7027803714078225,0.8644775200564137,PRO_quant_5,1.0,PRO
nec_any,0.6822920270301436,0.8916871384290099,PRO_quant_5,2.0,PRO
nec_any,0.7077701262152482,0.8738691126553719,PRO_quant_5,3.0,PRO
nec_any,0.6970653969487902,0.8675342992216393,PRO_quant_5,4.0,PRO
rop_any,0.6716457828308693,0.572196927715545,PRO_quant_5,0.0,PRO
