metabolite_from,metabolite_to,case_spearman_rho,case_pval,case_log10_pval,control_spearman_rho,control_pval,control_log10_pval,metabolite_pair_label,rho_diff,abs_rho_diff,outcome
TYR,C-18:1,-0.03243226963356946,0.035809719692322745,1.4459990785009125,0.005271734786389811,0.7263622497523501,0.13884673490308905,,-0.02716053484717965,0.037704004419959275,BPD
XLE,C-16,0.023618088542733267,0.1264236459366039,0.8981716891916433,-0.0981301190881392,6.342990552003324e-11,10.19770593549137,,-0.07451203054540594,0.12174820763087248,BPD
XLE,PHE/TYR,-0.002551855852577817,0.86886239450799585,0.0610489991991302,0.11311947184158529,4.637352439370636e-14,13.333729896414452,,0.11056761598900747,0.1156713276941631,BPD
ARG/ORN,OXP,0.09122239738927565,2.395023422160547e-9,8.620690235040508,-0.02408571413159779,0.10976613129446171,0.9595316422260486,,0.06713668325767785,0.11530811152087345,IVH
C-10,ARG,0.09686412636146702,2.29996776389146e-10,9.638278250965959,-0.007928000270473917,0.59867059762711206,0.22281207073666445,,0.0889361260909931,0.10479212663194093,IVH
C-12:1,ARG,0.07036130666276531,4.258084291401285e-6,5.370785745685833,-0.004699392146543499,0.7550613705068169,0.12201774798766521,,0.06566191451622182,0.07506069880930881,IVH
C-14,C-5,0.01817522464323779,0.23562795956203966,0.6277731775391903,-0.09957664934033549,3.302739546647004e-11,10.481125673330666,,-0.0814014246970977,0.11775187398357327,IVH
C-16,C-5,9.471177772039947e-4,0.9507257899300257,0.02194472501042951,-0.11630496078281283,8.76284424703587e-15,14.05735490749588,,-0.11535784300560883,0.11725207856001682,IVH
CIT/ARG,C-10,-0.07785191362098771,3.584386847695448e-7,6.4455851249158655,0.015939786725215548,0.2899386608164303,0.537693871365323,,-0.06191212689577216,0.09379170034620327,IVH
CIT,C14:1,0.06539461111814904,1.9302121208160305e-5,4.714394961542596,-0.026897551859293992,0.0740942035149725,1.130215766108773,,0.03849705925885505,0.09229216297744303,IVH
FC/(C-16 + C-18:1),ORN,-0.004084167109253575,0.7898728094269588,0.10244283606549714,0.07322464428929042,1.117386033785095e-6,5.951796761191329,,0.06914047718003684,0.077308811398544,IVH
LEU/ALA,C-18,0.0050777870537137,0.7404129329206113,0.13052600395613756,-0.04087053159154288,0.006633337921023264,2.178267877946981,,-0.03579274453782918,0.04594831864525658,IVH
